127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000480
127.0.0.1, 2017-01-29 01:06:25, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000544
127.0.0.1, 2017-01-29 01:06:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001696
127.0.0.1, 2017-01-29 01:06:26, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000479
127.0.0.1, 2017-01-29 01:06:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000511
127.0.0.1, 2017-01-29 01:06:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000295
127.0.0.1, 2017-01-29 01:06:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000270
127.0.0.1, 2017-01-29 01:06:43, GET, /main/static/images/facebook, HTTP/1.1, 404, 0.000595
127.0.0.1, 2017-01-29 01:06:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2017-01-29 01:06:52, GET, /main/static/images/facebook.png, HTTP/1.1, 404, 0.000372
127.0.0.1, 2017-01-29 01:06:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2017-01-29 01:07:17, GET, /main/static/images/start.png, HTTP/1.1, 404, 0.001794
127.0.0.1, 2017-01-29 01:07:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000550
127.0.0.1, 2017-01-29 01:07:27, GET, /main/static/start.png, HTTP/1.1, 404, 0.000459
127.0.0.1, 2017-01-29 01:07:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2017-01-29 01:07:44, GET, /main/static/chat.png, HTTP/1.1, 404, 0.000477
127.0.0.1, 2017-01-29 01:07:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000527
127.0.0.1, 2017-01-29 01:07:51, GET, /main/static/images/chat.png, HTTP/1.1, 404, 0.000351
127.0.0.1, 2017-01-29 01:07:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000624
